date,startup_name,industry_vertical,subvertical,country,city /state location,investors_name,investment_type,amount_in_usd,year,month
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,FinTech,Non-banking financial company,India,Chennai,"MASSIF, a Dutch government fund",Debt Funding,5000000,2019,January
2019-01-04,Vyome Therapeutics Inc.,HealthTech,Specialty pharmaceutical,India,Unknown,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000,2019,January
2019-01-03,CarDekho,Transport,Online Marketplace,India,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000,2019,January
2018-12-06,BuildSupply,E-Commerce,"Real Estate, ERP",India,Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000,2018,December
2018-12-06,ShopKirana,Consumer Internet,eCommerce,India,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000,2018,December
2018-12-04,Manch,Media & Entertainment,Hyperlocal Content,India,New Delhi,Stellaris Venture Partners,Seed Funding,700000,2018,December
2018-12-04,Nagpur Wholesale,E-Commerce,eCommerce,India,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000,2018,December
2018-12-02,Career Anna,EdTech,"Video-based certification, trainings",India,Gurugram,Individual Investors,Pre Series A,572000,2018,December
2018-12-02,Guiddoo,Travel,Platform for travel agents,India,Mumbai,Individual Investors,Pre Series A,800000,2018,December
2018-12-01,UrbanClap Technologies Pvt. Ltd,Consumer Internet,Home services marketplace,India,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000,2018,December
2018-11-25,InCred Finance,FinTech,SME Lending,India,Unknown,"Paragon Partners, Individual Investors",Private Equity,42000000,2018,November
2018-11-25,Roposo,Media & Entertainment,Video Sharing,India,New Delhi,Bertelsmann India Investments,Series B,1700000,2018,November
2018-11-24,Engineer.ai,SaaS & Enterprise Tech,AI Platform,India,Unknown,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000,2018,November
2018-11-23,Signzy,FinTech,Digital Onboarding Solution,India,Mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000,2018,November
2018-11-22,Aavishkaar-Intellecap Group,FinTech,SME Funding,India,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000,2018,November
2018-11-22,Skillbox,Media & Entertainment,Art,India,Gurugram,Individual investors,Seed Funding,,2018,November
2018-11-21,Genius Corner,EdTech,Personalized Learning,India,Noida,Individual investors,Seed Funding,278000,2018,November
2018-11-20,HealthifyMe,HealthTech,Wellness Coach,India,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000,2018,November
2018-11-19,Automation Anywhere,SaaS & Enterprise Tech,Robotics,USA,California,SoftBank Vision Fund,Series B,300000000,2018,November
2018-11-14,CleanseCar,Consumer Internet,Car Wash,India,Bengaluru,Venture Catalysts,Seed Funding,500000,2018,November
2018-11-13,DriveU,Transport,On-Demand Drivers,India,Bengaluru,Stevens Creek Ventures,Mezzanine Funding,1000000,2018,November
2018-11-12,BlackBuck,FoodTech,POS For Online Ordering,India,Bengaluru,Tiger Global,Series A,1000000,2018,November
2018-11-12,MilkBasket,FoodTech,Micro-delivery grocery service,India,New Delhi,Mayfield Fund,Series B,1300000,2018,November
2018-11-08,A&R Bon Vivants,FoodTech,Meat Retail Chain,India,Jaipur,"RB Investments, Singapore",Equity Based Funding,1000000,2018,November
2018-11-08,Mobile Premier League,Media & Entertainment,Mobile e-Sports,India,Bengaluru,Undisclosed,Series A,500000,2018,November
2018-11-06,Meesho,E-Commerce,Social Commerce,India,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000,2018,November
2018-11-03,Veritas Finance Ltd.,FinTech,MSME Finance,India,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000,2018,November
2018-11-01,GoDesi,FoodTech,Regional Flavours,India,Bengaluru,Lead Angels Network,Seed Funding,138995,2018,November
2018-10-12,BlackBuck,Logistics,Largest Trucking Platform,India,Bengaluru,Sequoia Capital India,Private Equity,14680000,2018,October
2018-10-12,LetsTransport,Logistics,Book Trucks Online,India,Bengaluru,Fosun International,Series C,12000000,2018,October
2018-10-11,Innov8,Real Estate,Co-Working,India,New Delhi,Credence Family Office,Pre Series A,4000000,2018,October
2018-10-05,Droom,Transport,New and Used Cars Platform,India,Gurugram,ZigExN,Series E,3000000,2018,October
2018-10-04,Grover Zampa,FoodTech,Wine,India,Mumbai,Ravi Viswanathan,Private Equity,8200000,2018,October
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,India,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed Funding,11000000,2018,October
2018-10-01,Northmist,E-Commerce,Mens Wear,India,New Delhi,Prashant Jaiswal,Seed Funding,,2018,October
2018-09-12,Kissht,FinTech,Online lending Platform,India,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000,2018,September
2018-09-11,AutoGrid,SaaS & Enterprise Tech,AI-Based Energy Optimisation and Control Provider,India,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000,2018,September
2018-09-11,PharmEasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,India,Mumbai,InnoVen Capital,Debt Funding,5500000,2018,September
2018-09-11,Upwards,FinTech,Online Micro Lending Marketplace,India,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000,2018,September
2018-09-10,MamaEarth,HealthTech,Online Marketplace For Mother and Babycare Products,India,Gurugram,Stellaris Ventures & Others,Private Equity,4000000,2018,September
2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,India,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000,2018,September
2018-09-05,Mad Street Den,SaaS & Enterprise Tech,Computer Vision And Artificial Intelligence (Ai) Platform,India,Chennai,KDDI\\xc2\\xa0,Private Equity,,2018,September
2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,India,Mumbai,Lighthouse,Private Equity,157200000,2018,September
2018-09-04,3HCare,HealthTech,Healthcare Service Provider,India,New Delhi,Undisclosed,Seed Funding,1000000,2018,September
2018-09-04,HappyGoEasy,Consumer Internet,Online Travel Agecy,India,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,,2018,September
2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App,India,Bengaluru,Falcon Edge,Private Equity,6390000,2018,September
2018-09-03,Udaan,Consumer Internet,Logistics and Shipping,India,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000,2018,September
2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,India,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000,2018,September
2018-08-30,True North,FinTech,Private Equity Firm,India,Mumbai,Undisclosed,Private Equity,600000000,2018,August
2018-08-28,Narvar,SaaS & Enterprise Tech,Post-Purchase Customer Engagement Platform,India,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000,2018,August
2018-08-27,MyUpchar,HealthTech,Local Language Health Content App,India,New Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000,2018,August
